Node Indices,Score
"(2564, 2973, 2182)",0.6061261296272278
"(1800, 2297, 4177)",0.6059548258781433
"(1601, 1577, 3439)",0.605937659740448
"(1800, 4177, 1836)",0.6059322357177734
"(4177, 1836, 1382)",0.6058056354522705
"(2032, 1596, 2973)",0.6057959198951721
"(3017, 1490, 1491)",0.6057943105697632
"(568, 4573, 567)",0.605786919593811
"(1800, 1836, 3190)",0.6057513356208801
"(1800, 2297, 3793)",0.605747640132904
"(944, 3349, 943)",0.6057437658309937
"(4177, 2297, 1382)",0.6057395339012146
"(2297, 3793, 1382)",0.6057335734367371
"(4417, 1577, 2487)",0.6057211756706238
"(1800, 3793, 1836)",0.6057034134864807
"(3788, 1469, 1703)",0.6056791543960571
"(656, 5186, 1391)",0.6056720614433289
"(2973, 2029, 1558)",0.6056458353996277
"(3190, 1836, 1382)",0.605611264705658
"(1782, 2973, 1558)",0.6056021451950073
"(2564, 2973, 2182, 2031)",0.6055700182914734
"(2973, 2029, 1782)",0.6055585741996765
"(1073, 21, 2807)",0.6055181622505188
"(2956, 1446, 1390)",0.6055130958557129
"(1545, 2775, 1943)",0.605506181716919
"(2775, 1435, 1943)",0.6055034399032593
"(1601, 1577, 4417)",0.6054850816726685
"(1569, 1490, 3017)",0.605455756187439
"(1800, 4523, 1836)",0.6054554581642151
"(4329, 1963, 1446)",0.6054526567459106
"(2775, 1339, 1943)",0.6054279208183289
"(1569, 1491, 3017)",0.605410099029541
"(2297, 4418, 1382)",0.6053987145423889
"(3144, 1490, 1491)",0.605395495891571
"(4795, 1836, 1382)",0.6053908467292786
"(1800, 4177, 1844)",0.6053889393806458
"(1960, 3017, 1490, 1491)",0.6053875088691711
"(1963, 2956, 1446)",0.6053861975669861
"(1499, 3085, 2374)",0.6053767800331116
"(2052, 2973, 1743)",0.6053730845451355
"(1963, 1933, 3903)",0.6053555011749268
"(4347, 1933, 1390)",0.6053531765937805
"(2496, 2718, 3903)",0.6053493618965149
"(1800, 1836, 3021)",0.6053491234779358
"(2775, 2582, 1943)",0.6053462028503418
"(1800, 3426, 1836)",0.605346143245697
"(680, 2973, 1782)",0.605328381061554
"(1800, 2297, 4424)",0.605320155620575
"(1457, 2133, 2911)",0.6053152084350586
"(1800, 2297, 4555)",0.6053138971328735
"(1352, 3075, 1383)",0.6053102016448975
"(4417, 2473, 2487)",0.6052951812744141
"(3017, 1490, 2354)",0.6052946448326111
"(2973, 1782, 1743)",0.6052871346473694
"(1800, 2297, 4945)",0.6052839756011963
"(568, 4614, 567)",0.6052775382995605
"(1963, 3212, 1933)",0.6052719354629517
"(1836, 3021, 1382)",0.6052716970443726
"(1782, 2973, 2029, 1558)",0.6052666306495667
"(3656, 1041, 1566)",0.6052634119987488
"(2297, 4524, 1382)",0.6052541136741638
"(1800, 1836, 4175)",0.6052488088607788
"(1800, 4332, 1382)",0.6052485704421997
"(128, 1953, 4178)",0.6052435636520386
"(2775, 1349, 1943)",0.6052432060241699
"(2297, 4549, 1382)",0.6052428483963013
"(1800, 4176, 1836)",0.6052415370941162
"(4177, 25, 309)",0.605241060256958
"(25, 3793, 309)",0.6052366495132446
"(4347, 1446, 1390)",0.605233371257782
"(3560, 1836, 1382)",0.6052294373512268
"(1825, 3177, 1833)",0.6052240133285522
"(1800, 4424, 1836)",0.6052197813987732
"(4332, 1836, 1382)",0.6052173972129822
"(1836, 1382, 4676)",0.6052125692367554
"(3834, 251, 253)",0.6052124500274658
"(1836, 1382, 4175)",0.6052121520042419
"(1800, 1836, 3999)",0.6052069067955017
"(128, 1953, 2956)",0.6052069067955017
"(1800, 1836, 4676)",0.6052044630050659
"(2369, 4443, 1461)",0.6052016615867615
"(3200, 1073, 21)",0.6051992177963257
"(1349, 1470, 2775)",0.605198323726654
"(1466, 2133, 2911)",0.6051939725875854
"(3190, 309, 1382)",0.6051879525184631
"(1800, 2297, 4456)",0.6051855087280273
"(2473, 3439, 2487)",0.6051802635192871
"(1800, 1836, 3560)",0.6051783561706543
"(2297, 4865, 1382)",0.6051779985427856
"(1800, 3210, 1836)",0.6051748991012573
"(1457, 1466, 2911)",0.6051694750785828
"(1836, 1382, 4463)",0.6051686406135559
"(1480, 4443, 1461)",0.6051680445671082
"(385, 4573, 567)",0.6051583290100098
"(2440, 2178, 4636)",0.6051579713821411
"(1960, 1641, 3017)",0.6051545739173889
"(1596, 2973, 1743)",0.6051542162895203
"(128, 1953, 3219)",0.6051493287086487
"(1544, 1658, 4706)",0.6051484942436218
"(1800, 3560, 1382)",0.6051438450813293
"(1464, 5386, 1750)",0.6051436066627502
"(4523, 1844, 1382)",0.6051427125930786
"(4176, 1836, 1382)",0.6051375269889832
"(1800, 2297, 4410)",0.6051369905471802
"(2775, 1470, 1943)",0.6051357984542847
"(1545, 2529, 2775)",0.6051304936408997
"(1800, 4451, 1836)",0.6051284074783325
"(1601, 2473, 3439)",0.6051275134086609
"(3656, 1990, 1566)",0.6051256656646729
"(1968, 3656, 1566)",0.6051245927810669
"(4536, 385, 567)",0.6051233410835266
"(2529, 1410, 2775)",0.6051181554794312
"(568, 4332, 567)",0.6051170229911804
"(1339, 1470, 2775)",0.6051149368286133
"(1960, 1569, 1490, 3017)",0.6051137447357178
"(2297, 1836, 3190)",0.6051130890846252
"(1963, 1933, 2959)",0.6051105856895447
"(1410, 2775, 1943)",0.6051052212715149
"(3219, 1933, 1390)",0.6051040887832642
"(4371, 1963, 1446)",0.6051039695739746
"(1963, 3219, 1933)",0.6051032543182373
"(1953, 1963, 2956, 1933)",0.605102002620697
"(3212, 1446, 1390)",0.6050966382026672
"(3426, 1836, 1382)",0.6050958633422852
"(1825, 3174, 1833)",0.6050894260406494
"(4473, 1963, 1446)",0.6050809025764465
"(1944, 2140, 4140)",0.6050770878791809
"(1577, 2473, 3439)",0.6050755977630615
"(4545, 1414, 182)",0.6050726771354675
"(2496, 2956, 2718)",0.6050721406936646
"(4169, 1426, 1799)",0.6050710082054138
"(3190, 1382, 2399)",0.6050692796707153
"(1800, 4410, 1836)",0.6050675511360168
"(1800, 5216, 1836)",0.605067253112793
"(3224, 2074, 2539)",0.6050617694854736
"(1809, 1386, 4543)",0.6050577163696289
"(1481, 5321, 1351)",0.6050560474395752
"(1578, 4446, 1471)",0.6050477027893066
"(65, 1714, 4195)",0.6050462126731873
"(128, 1953, 4371)",0.6050455570220947
"(1825, 3171, 1833)",0.6050443053245544
"(568, 3793, 567)",0.6050426363945007
"(1545, 1470, 2775)",0.6050422191619873
"(4543, 1386, 1799)",0.605042040348053
"(1968, 1041, 3656)",0.6050369739532471
"(2962, 1963, 1933)",0.605035126209259
"(1490, 1491, 3276)",0.6050329208374023
"(1776, 3834, 2004)",0.6050318479537964
"(128, 1953, 4529)",0.6050311326980591
"(1545, 1410, 2775)",0.6050288081169128
"(2331, 1435, 2775)",0.6050283312797546
"(1641, 1491, 3017)",0.6050258874893188
"(1800, 4177, 309)",0.605023980140686
"(128, 1801, 2956)",0.6050208210945129
"(4103, 1837, 2071)",0.6050203442573547
"(2775, 1476, 1943)",0.60501629114151
"(1481, 3302, 1351)",0.6050134301185608
"(1960, 3144, 1490, 1491)",0.6050063371658325
"(568, 4353, 567)",0.6050052046775818
"(4417, 1601, 2473)",0.6050050258636475
"(1457, 2796, 2133)",0.6050049066543579
"(2297, 4410, 1382)",0.605003297328949
"(1836, 1382, 4311)",0.6050004959106445
"(3190, 2028, 1382)",0.6049970388412476
"(386, 5103, 575)",0.6049952507019043
